Precision	Recall	Confidence
0.5714285714285714	0.0013372800081967399	0.951
0.5714285714285714	0.0013372800081967399	0.952
0.5714285714285714	0.0013372800081967399	0.953
0.5714285714285714	0.0013372800081967399	0.954
0.5714285714285714	0.0013372800081967399	0.955
0.5714285714285714	0.0013372800081967399	0.956
0.5714285714285714	0.0013372800081967399	0.957
0.5714285714285714	0.0013372800081967399	0.958
0.5714285714285714	0.0013372800081967399	0.959
0.5714285714285714	0.0013372800081967399	0.964
0.5714285714285714	0.0013372800081967399	0.968
0.7857142857142857	0.0015917144368097088	0.949
0.7857142857142857	0.0015917144368097088	0.95
0.8571428571428571	0.0020442269335211004	0.946
0.8571428571428571	0.0020442269335211004	0.948
0.8979591836734694	0.003753693576364409	0.945
0.8373015873015873	0.004490341826824814	0.944
0.8285714285714286	0.006175891799667604	0.943
0.7961904761904761	0.0068712431027537135	0.942
0.8089285714285714	0.007055405165368815	0.941
0.8201680672268907	0.007341879484992306	0.94
0.8063492063492064	0.0075167404333339165	0.939
0.8112781954887218	0.007644237245913603	0.938
0.8332251082251081	0.009178921101039447	0.937
0.8404761904761904	0.009510412813746628	0.935
0.8404761904761904	0.009510412813746628	0.936
0.8411706349206348	0.009657742463838711	0.933
0.8411706349206348	0.009657742463838711	0.934
0.8115953057359309	0.011823092460680416	0.932
0.7978498217468807	0.012981688495779542	0.93
0.7978498217468807	0.012981688495779542	0.931
0.7820047277284121	0.013867420320737888	0.928
0.7820047277284121	0.013867420320737888	0.929
0.7705003330003332	0.014318617374144884	0.927
0.7876208094231351	0.01668294593649612	0.926
0.7725086271550089	0.019588614035534396	0.925
0.7569928974534238	0.020703791062313633	0.924
0.7361568214969408	0.021005147164774706	0.922
0.7357518009930291	0.021227676323767954	0.921
0.73549659279015	0.022350506838863658	0.92
0.7556928571559364	0.025526878487773495	0.918
0.7556928571559364	0.025526878487773495	0.919
0.7622670593817209	0.026225875827654812	0.917
0.7656154106580346	0.02639329588457763	0.916
0.7688707521766731	0.02676162000980784	0.915
0.7821027245780535	0.03015725138886463	0.914
0.7607327535664002	0.030979841935212082	0.913
0.763547662347972	0.03134816606044229	0.912
0.7535300250985061	0.032128979873430295	0.911
0.7522865095677043	0.03315061426523043	0.91
0.7464365008104166	0.0334636897716761	0.909
0.7479503036000594	0.03522850802021053	0.907
0.7479503036000594	0.03522850802021053	0.908
0.7483123785954726	0.036098319608254166	0.904
0.7483123785954726	0.036098319608254166	0.905
0.7483123785954726	0.036098319608254166	0.906
0.7451675278593626	0.03797109896722136	0.903
0.7423394320539526	0.039297063944199226	0.902
0.73602280134235	0.04031527838782803	0.901
0.7384070236733646	0.04273080876836763	0.899
0.7384070236733646	0.04273080876836763	0.9
0.7357102221120039	0.04352445627505364	0.898
0.7390325442498024	0.044154699778225316	0.897
0.7342526559003695	0.04423654958383203	0.896
0.7296014448605567	0.044930080525981755	0.895
0.7269917308827842	0.04881813204561222	0.894
0.7288616505342721	0.049331832586937074	0.893
0.734019058947554	0.05078269095149327	0.892
0.7329847450118594	0.05182727479325864	0.891
0.7347938565403708	0.05339528321209579	0.889
0.7347938565403708	0.05339528321209579	0.89
0.7360164717302389	0.054183672232529005	0.888
0.7372914006506768	0.054808069321014494	0.887
0.7366807152516409	0.057220546046133414	0.886
0.7335254286703553	0.057831496380840654	0.885
0.7324660841875291	0.057864980392225214	0.884
0.7333094801390823	0.05814122348614787	0.883
0.7300933848548045	0.058902426678290286	0.882
0.7273079391191277	0.06086618338042855	0.881
0.723900739825345	0.06140434585229267	0.88
0.7205505496212395	0.06250377934763023	0.879
0.7191431152557592	0.06278206868669306	0.878
0.7171131539115377	0.06372394990156745	0.876
0.7171131539115377	0.06372394990156745	0.877
0.7138385875202612	0.06593652553955745	0.875
0.713622745949586	0.06792047314505203	0.874
0.7134684870721207	0.06863013722163194	0.873
0.7110953167105271	0.06870380204667798	0.872
0.7106701621646527	0.0689729619843462	0.871
0.7047803419875782	0.07017137069656706	0.87
0.7033945577688693	0.07318402049171177	0.867
0.7033945577688693	0.07318402049171177	0.868
0.7033945577688693	0.07318402049171177	0.869
0.7010400371076518	0.07614266854644439	0.866
0.7034902395221897	0.07651050547045073	0.865
0.6990051262160173	0.0781953093099507	0.864
0.7019979790580148	0.08036752436484368	0.863
0.7010876862219125	0.08082763407422218	0.862
0.697326014227801	0.08350588992927362	0.861
0.6969639186986187	0.08474486887543486	0.86
0.6962246355631356	0.0865305702646462	0.859
0.6927425015774508	0.08736406457880348	0.857
0.6953665262046381	0.08736406457880348	0.858
0.690507808442013	0.09020532566228613	0.856
0.6915319945432805	0.09115727426616844	0.855
0.6890228332614269	0.09292420694470332	0.854
0.6933614813616377	0.09513683368771682	0.853
0.6906810249702932	0.09636536315966523	0.852
0.6821040475924919	0.09735393873387618	0.851
0.6807171023652762	0.0989162131690788	0.85
0.6799444415655032	0.09921087246926297	0.849
0.6793583033193614	0.09926349020143872	0.848
0.6780812985003714	0.10085081738634469	0.847
0.6732539301295587	0.10157343424155824	0.846
0.6681841171414719	0.10298094090093358	0.845
0.6702197974044076	0.10375179067730822	0.844
0.6691742268100412	0.10424428467808952	0.843
0.6704959351463295	0.10554107963916787	0.842
0.6699191610579343	0.10707242488380185	0.841
0.671081046043787	0.10796458776491501	0.84
0.6673941580451119	0.10974342097439663	0.839
0.664719225052131	0.11021698056397833	0.838
0.6622595150125545	0.11194082250881476	0.837
0.6632029241884971	0.11217102508708364	0.836
0.6623403329870973	0.11268667886240591	0.835
0.660159524876647	0.11517394297950427	0.834
